data/created_at,data/description,data/id,data/name,data/profile_image_url,data/public_metrics/followers_count,data/public_metrics/following_count,data/public_metrics/tweet_count,data/public_metrics/listed_count,data/url,data/username,data/verified,data/location
2016-05-31T21:33:25.000Z,"Covering policy and local government in Carbondale and Jackson County, IL.",737758908568084000,Carbondale Reporter,https://pbs.twimg.com/profile_images/737759120015515648/tGTAsGrS_normal.jpg,143,19,1907,4,https://t.co/d6PafIBYYS,carbondale_news,FALSE,
2015-11-18T13:19:32.000Z,"Covering policy and local government in Champaign County, IL.",4218231520,Chambana Sun,https://pbs.twimg.com/profile_images/771354852894973952/3c9K6KVw_normal.jpg,357,171,2974,24,https://t.co/qP4i29Avcs,ChambanaSun,FALSE,
2016-05-31T20:57:21.000Z,"Covering policy and local government in Cook County, IL.",737749833281216000,Chicago City Wire,https://pbs.twimg.com/profile_images/737751274393722880/UmDM9qWz_normal.jpg,303,19,3450,6,https://t.co/HEJqddwywT,chicago_wire,FALSE,
2017-01-20T21:18:39.000Z,,822553953795788000,DeKalb Times,https://pbs.twimg.com/profile_images/822554392297619460/ywxlNk-s_normal.jpg,67,0,756,3,,DeKalb_Times,FALSE,
2015-01-29T14:45:45.000Z,"Daily news on DuPage County's elected officials, their policies, and actions.",3001471430,DuPagePolicyJournal,https://pbs.twimg.com/profile_images/771357644523089920/phCPhgQD_normal.jpg,444,260,5060,9,http://t.co/WnzJMXvFRs,DuPageJournal,FALSE,"DuPage County, IL"
2016-02-03T22:42:59.000Z,Covering policy and local government in East Central Illinois.,4875153526,E. Central Reporter,https://pbs.twimg.com/profile_images/771358794110504960/M-N87Hum_normal.jpg,71,19,3041,12,https://t.co/KKgCsckegA,eastcentreport,FALSE,
2016-05-31T21:09:09.000Z,Covering policy and local government in the Illinois Valley.,737752800558354000,IL Valley Times,https://pbs.twimg.com/profile_images/737754331944865792/9TIylh_y_normal.jpg,99,19,2195,5,https://t.co/MBnNvn2Z1u,IL_valley_times,FALSE,
2016-05-31T21:18:18.000Z,"Covering policy and local government in Kane County, IL.",737755102732111000,Kane County Reporter,https://pbs.twimg.com/profile_images/737755334278684672/-hr-F9mX_normal.jpg,188,111,6213,5,https://t.co/6684pkwU2c,kane_reporter,FALSE,
2015-11-18T13:34:04.000Z,"Covering policy and local government in Kankakee County, IL.",4218254801,Kankakee Times,https://pbs.twimg.com/profile_images/771360699083657216/gaMiGf2-_normal.jpg,487,244,2257,21,https://t.co/2GIqNsqQLi,Kankakee_Times,FALSE,
2015-11-17T00:59:16.000Z,"Covering policy and local government in Lake County, IL.",4206041674,LakeCntyGazette,https://pbs.twimg.com/profile_images/771361346579378176/E0kVNund_normal.jpg,533,249,4132,25,https://t.co/VL44t83JYQ,lakecntygazette,FALSE,
2017-01-20T20:06:47.000Z,,822535867906555000,Macon Reporter,https://pbs.twimg.com/profile_images/822536454664572928/CkrH9ZaO_normal.jpg,51,0,678,2,,MaconReporter,FALSE,
2015-11-16T22:17:06.000Z,"Covering policy and local government in McHenry County, IL.",4205082557,McHenry Times,https://pbs.twimg.com/profile_images/771362133602775041/Eh0fsWjS_normal.jpg,426,192,3063,24,https://t.co/CdFTUZqd8I,McHenryTimes1,FALSE,
2017-01-20T20:12:51.000Z,,822537394616463000,McLean County Times,https://pbs.twimg.com/profile_images/822537808833314816/VFh6ZYyY_normal.jpg,50,0,784,2,,McLean_Times,FALSE,
2015-11-18T13:43:00.000Z,Covering policy and local government in the greater Metro East area.,4218256407,Metro East Sun,https://pbs.twimg.com/profile_images/771362483307028480/Xmr5opDQ_normal.jpg,347,161,3443,19,https://t.co/8FgMS76QoK,MetroEastSun,FALSE,
2015-11-16T22:51:29.000Z,"Covering policy and local government in north Cook County, IL.",4205338234,North Cook News,https://pbs.twimg.com/profile_images/771364503627763713/B_irZLiv_normal.jpg,325,155,3614,21,https://t.co/ZkPAqAblnq,NorthCookNews,FALSE,
2017-01-20T20:16:49.000Z,,822538392273559000,NW Illinois News,https://pbs.twimg.com/profile_images/822538953223995393/xL7I2nMn_normal.jpg,67,0,903,3,,NW_IllinoisNews,FALSE,
2016-05-31T20:40:50.000Z,"Covering policy and local government in Peoria County, IL.",737745674448437000,Peoria Standard,https://pbs.twimg.com/profile_images/737747547897233408/EJFrXo9t_normal.jpg,136,19,1409,3,https://t.co/AnQOfaibEx,peoria_standard,FALSE,
2017-08-15T20:06:00.000Z,,897549959901446000,Prairie State Wire,https://pbs.twimg.com/profile_images/897552391838543874/LXFeoDrj_normal.jpg,116,0,2067,5,,Prairie_Wire,FALSE,
2017-01-20T20:20:08.000Z,,822539224658350000,Rockford Sun,https://pbs.twimg.com/profile_images/822539566896873473/I_0SAUHd_normal.jpg,69,0,877,1,,Rockford_Sun,FALSE,
2016-02-03T22:37:12.000Z,"Covering policy and local government in Rock Island County, IL.",4875081551,Rock Island Today,https://pbs.twimg.com/profile_images/771366908545282049/1m8ij3gI_normal.jpg,128,19,2843,9,https://t.co/sO3Wy4xzWi,rockislandtoday,FALSE,
2016-03-15T21:00:21.000Z,"Covering policy and local government in Sangamon County, IL.",709846721421914000,Sangamon Sun,https://pbs.twimg.com/profile_images/771367709372067840/J72_yQgG_normal.jpg,181,20,2120,15,https://t.co/nXCNJm438y,SangamonSun,FALSE,
2016-05-31T21:39:17.000Z,Covering policy and local government in Southeastern Illinois.,737760383709024000,SE Illinois News,https://pbs.twimg.com/profile_images/737761168949813249/86X4bs4S_normal.jpg,141,19,1878,4,https://t.co/8s6lGBJlvm,seillinoisnews,FALSE,
2017-01-20T20:22:30.000Z,,822539820891258000,South Cook News,https://pbs.twimg.com/profile_images/822540288568729600/YHmKmMY9_normal.jpg,104,0,1096,2,,SouthCookNews,FALSE,
2016-02-03T22:33:45.000Z,Covering policy and local government in Southwest Illinois.,4875137266,SW Illinois News,https://pbs.twimg.com/profile_images/771370213639983104/u7aS5N3o_normal.jpg,152,19,2238,17,https://t.co/BE2W8OM4I8,swillinoisnews,FALSE,
2016-02-14T22:29:14.000Z,Covering policy and local government in West Central Illinois.,4910687991,W. Central Reporter,https://pbs.twimg.com/profile_images/771370810388779008/bj4sjlAV_normal.jpg,156,19,2686,12,https://t.co/fa9wo16YSt,WestCentReport,FALSE,
2016-02-03T22:27:44.000Z,"Covering policy and local government in west Cook County, IL.",4875063365,West Cook News,https://pbs.twimg.com/profile_images/771371650570854400/NVYFPBS1_normal.jpg,168,19,2524,11,https://t.co/Kt7L5uv92l,westcooknews,FALSE,
2016-05-31T21:44:32.000Z,"Covering policy and local government in Will County, IL.",737761705778761000,Will County Gazette,https://pbs.twimg.com/profile_images/737761931289731073/nNKh9M5d_normal.jpg,180,19,2915,5,https://t.co/hITQtu2ixf,WillCoGazette,FALSE,
2013-08-06T19:51:38.000Z,"Reporting on litigation, decisions and trends in Chicago's civil courtrooms",1651123645,Cook County Record,https://pbs.twimg.com/profile_images/773596663650750464/owftWZ9Z_normal.jpg,1114,408,12065,74,http://t.co/wWqlRUsbVC,CookRecord,FALSE,"Chicago, IL"
2016-03-25T21:00:56.000Z,,713470745175658000,Florida Record,https://pbs.twimg.com/profile_images/713472936410095616/IwV6JyE6_normal.jpg,102,41,6292,6,,FloridaRecord,FALSE,
2009-11-02T03:30:54.000Z,"Covering state attorneys general and supreme courts, class action lawsuits, patent and asbestos litigation, the False Claims Act and campaigns and elections",86864211,Legal Newsline,https://pbs.twimg.com/profile_images/773593633379323904/vwQxTzod_normal.jpg,1666,559,16089,68,http://t.co/uFSc13t2RP,LegalNewsline,FALSE,"Chicago, IL"
2010-10-13T21:58:46.000Z,We aim to protect the public's interest by reporting on Louisiana's civil justice system thoroughly and vigorously.,202364607,The Louisiana Record,https://pbs.twimg.com/profile_images/773595997721079808/PjfgTcgi_normal.jpg,27490,23013,20433,222,http://t.co/VuRrwojCEo,louisianarecord,FALSE,"New Orleans, LA"
2009-11-19T11:34:47.000Z,,91086406,Madison Co Record,https://pbs.twimg.com/profile_images/773595601409675264/tOOlfLyM_normal.jpg,757,583,13633,50,http://t.co/4OP7bPG0Wa,MadisonRecord,FALSE,"Edwardsville, IL"
2016-03-31T18:43:15.000Z,,715610426017316000,NorCal Record,https://pbs.twimg.com/profile_images/715611266870476804/56zhFhhY_normal.jpg,72,40,6364,1,,NorCal_Record,FALSE,
2011-05-16T13:28:41.000Z,,299652000,Pennsylvania Record,https://pbs.twimg.com/profile_images/773599539919921152/NGkGMuHm_normal.jpg,485,219,7867,19,http://t.co/FUgZ1YTNLV,PennRecord,FALSE,"Philadelphia, PA"
2009-11-19T11:37:11.000Z,A legal journal serving Southeast Texas,91086820,SE Texas Record,https://pbs.twimg.com/profile_images/773599053858811904/Ktm5UylP_normal.jpg,1136,1442,15399,45,http://t.co/ydRmv1Ipj6,SETexasRecord,FALSE,"Beaumont, Texas"
2016-12-16T16:36:59.000Z,,809799494934163000,St. Louis Record,https://pbs.twimg.com/profile_images/809858957292474368/6XAv5G4N_normal.jpg,23,0,1882,1,,St_Louis_Record,FALSE,
2009-11-19T11:38:43.000Z,"West Virginia's Legal Journal. We cover the state court system, federal courts and the state Attorney General's office.",91087040,West Virginia Record,https://pbs.twimg.com/profile_images/774288663035387904/Kq75tgFD_normal.jpg,3991,329,11660,107,http://t.co/UkoJN8f8hT,WVRecord,FALSE,"Hurricane, WV"
